Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
0.0856269113149847,0.07618170007704275,0.06957241577886554,0.013245033112582781,0.03571428571428571,0.7368421052631611,0.26666666666666666,0.08447312656520901,0.07897664071190211,0.625,0.44549763033175366,0.5,0.7435897435897435,Female
0.08630648997621475,0.11222562956025198,0.06125827814569537,0.047170907400952714,0.2857142857142857,0.8157894736842124,0.2,0.16811147498876258,0.020578420467185762,0.3870192307692307,0.2606635071090047,0.6714285714285714,0.34615384615384615,Male
0.008777891040887983,0.04267564995392539,0.02245896919090124,0.030440339258742885,0.2142857142857143,0.38157894736842124,0.0,0.0988569960829641,0.20912124582869857,0.451923076923077,0.3696682464454976,0.5,0.3846153846153846,Male
0.06076565862498584,0.1284650361798873,0.11236682983011806,0.10154525386313466,0.39285714285714285,0.8289473684210549,0.06666666666666667,0.17151480125858856,0.010567296996662959,0.31196581196581197,0.1492890995260664,0.3142857142857143,0.20512820512820512,Male
0.0745837580699966,0.09572941371965496,0.12658364526346097,0.12191626970295497,0.25,0.6447368421052637,0.2,0.08142297566300648,0.02224694104560623,0.5048076923076923,0.48341232227488157,0.3571428571428571,0.41025641025641024,Male
0.08449428021293465,0.06829614635104309,0.042218543046357616,0.03845706982688509,0.35714285714285715,0.7631578947368425,0.2,0.09275669427855904,0.18186874304783093,0.5174825174825175,0.3625592417061612,0.6285714285714286,0.4358974358974359,Male
0.08494733265375468,0.059987612731694784,0.03142096170457818,0.01107625576081484,0.17857142857142855,0.5394736842105274,0.13333333333333336,0.08447312656520901,0.1496106785317019,0.5384615384615384,0.19194312796208535,0.7142857142857143,0.23076923076923073,Male
0.019764412730773586,0.07171019834735712,0.08544486035128131,0.0956973006467604,0.2857142857142857,0.6447368421052637,0.06666666666666667,0.0981506453477172,0.029477196885428252,0.46153846153846156,0.28436018957345977,0.5285714285714286,0.30769230769230765,Male
0.04853324272284517,0.11329818571838601,0.1340339763892888,0.1345803803105999,0.42857142857142855,0.8157894736842124,0.06666666666666667,0.12688627753162524,0.04949944382647386,0.5464743589743588,0.24881516587677727,0.3142857142857143,0.2564102564102564,Male
0.14831804281345565,0.1250056649092859,0.04628563201842787,0.03361604895240308,0.2857142857142857,0.44736842105263364,0.33333333333333337,0.17347331920631862,0.314238042269188,0.14423076923076927,0.15639810426540285,0.12857142857142856,0.24358974358974356,Male
0.04298335032279987,0.17151834675287397,0.16570688165850847,0.16118663103675304,0.39285714285714285,0.8289473684210549,0.0,0.2255185256533744,0.026696329254727473,0.6068376068376069,0.39810426540284366,0.6142857142857142,0.41025641025641024,Male
0.22658285196511496,0.17589920993398492,0.26428879930895477,0.15262770613066884,0.14285714285714285,0.5,0.13333333333333336,0.04279843318564181,0.08453837597330367,0.4346153846153846,0.4028436018957347,0.44285714285714284,0.30769230769230765,Male
0.06461660437195606,0.1295224859132589,0.11395047509357904,0.11304751946090393,0.17857142857142855,0.7631578947368425,0.13333333333333336,0.17016631349129901,0.0005561735261401557,0.6076923076923078,0.3625592417061612,0.7285714285714285,0.3205128205128205,Male
0.0874391210782648,0.06000271915645723,0.07126403685574431,0.05054025792959219,0.14285714285714285,0.7631578947368425,0.2,0.04755024722275733,0.05672969966629588,0.43846153846153846,0.40521327014218017,0.32857142857142857,0.3205128205128205,Male
0.0,0.011027690076589571,0.022386985315289376,0.019635180666899035,0.10714285714285714,0.7894736842105274,0.0,0.036633917678032486,0.19521690767519467,0.5576923076923077,0.2559241706161138,0.2571428571428571,0.641025641025641,Female
0.13687846868275003,0.15677447618472135,0.16844226893175926,0.1654467294062972,0.25,0.6710526315789487,0.33333333333333337,0.13850895781159697,0.059510567296996664,0.4423076923076923,0.656872037914692,0.4,0.9999999999999999,Male
0.04711745384528259,0.047539918727434766,0.01443276706017852,0.007706905232175361,0.35714285714285715,0.5921052631578974,0.13333333333333336,0.09461889167148269,0.05506117908787542,0.38186813186813173,0.3649289099526066,0.2714285714285714,0.20512820512820512,Male
0.17742666213614225,0.149568711573032,0.13090267780017276,0.07606211997986136,0.2142857142857143,0.7368421052631611,0.26666666666666666,0.1336929300712772,0.0728587319243604,0.2554945054945055,0.3270142180094787,0.2714285714285714,0.28205128205128205,Male
0.047910295616717634,0.03877819236521292,0.08270947307803052,0.06851012741566942,0.10714285714285714,0.6973684210526336,0.0,0.014640724330572143,0.002224694104560623,0.6923076923076923,0.24170616113744076,0.6,0.2692307692307692,Male
0.09791595877222789,0.1512153118721392,0.1389648718687014,0.11343480113086249,0.2857142857142857,0.8026315789473699,0.13333333333333336,0.1750786617864252,0.001668520578420467,0.3406593406593408,0.4028436018957347,0.41428571428571426,0.28205128205128205,Male
0.15177256767470834,0.09053280360137166,0.07392744025338324,0.020138646837845164,0.17857142857142855,0.6973684210526336,0.06666666666666667,0.0735889038720863,0.13737486095661847,0.4326923076923077,0.2914691943127962,0.5285714285714286,0.34615384615384615,Male
0.0672782874617737,0.08560810912881248,0.10059746616757846,0.07881181983656714,0.14285714285714285,0.6973684210526336,0.06666666666666667,0.08723431580299235,0.1896551724137931,0.6346153846153846,0.28436018957345977,0.5285714285714286,0.34615384615384615,Male
0.0,0.022735169267489464,0.029441405125251945,0.013245033112582781,0.10714285714285714,0.6578947368421062,0.0,0.05522378475566685,0.30589543937708563,0.653846153846154,0.3554502369668247,0.3571428571428571,0.3974358974358974,Female
0.0908936459395175,0.13959847122981403,0.21868701410883962,0.21199798613531623,0.2142857142857143,0.8026315789473699,0.06666666666666667,0.083253066204328,0.035595105672969966,0.20329670329670335,0.29857819905213273,0.2142857142857143,0.423076923076923,Male
